step,body,x,y,z
32,2,4.286799035323506e-01,5.781518888072782e-01,3.424687274407152e-02
32,3,8.214980639049024e-01,5.453435133961787e-01,2.376776904817025e-04
32,4,8.200622096521254e-01,5.453277558496222e-01,3.783859434001510e-05
32,5,1.297782470160722e+00,4.927552004687657e-01,1.591101521885803e-02
32,6,4.943499592555518e+00,2.803685214614878e-01,5.943804138197153e-03
32,7,9.072722450383280e+00,1.932453930122279e-01,3.929351241775597e-09
32,8,1.826646024867483e+01,1.358901546063699e-01,7.904237345267442e-11
32,9,2.988694245640737e+01,1.042530416727286e-01,8.240775783439191e-12
33,0,8.703526310441948e-06,-2.790794932590414e-04,-5.941600978945639e-06
33,1,-3.999707491114214e-01,2.148978969983313e-01,2.640985846150258e-02
33,2,4.122619147460601e-01,5.900758938833520e-01,3.495328205486230e-02
33,3,8.118562367236137e-01,5.598831270993401e-01,2.532743420674302e-04
33,4,8.106291801474511e-01,5.598084674159872e-01,-7.150309078238663e-04
33,5,1.292721354025530e+00,5.070512517809116e-01,1.637263508329330e-02
33,6,4.943095479636234e+00,2.888566614212754e-01,6.123752390539475e-03
33,7,9.072601527659810e+00,1.991004363869681e-01,4.297311083807226e-09
33,8,1.826643045617626e+01,1.400079622929502e-01,8.644650061689987e-11
33,9,2.988693133302948e+01,1.074122114734312e-01,9.012759154128888e-12
34,0,9.213161775918450e-06,-2.872542086978254e-04,-6.114801784478801e-06
34,1,-4.127661351233808e-01,1.957754405895407e-01,2.406315623872567e-02
34,2,3.955183157592073e-01,6.015335878484518e-01,3.563207719288708e-02
34,3,8.019605601822331e-01,5.742497806895508e-01,2.660291519225361e-04
34,4,8.012299723276748e-01,5.741332170424024e-01,-1.243099579746314e-03
34,5,1.287517442639434e+00,5.212912547211949e-01,1.683244534610254e-02
34,6,4.942679322422693e+00,2.973440964822258e-01,6.303685693946665e-03
34,7,9.072476995976112e+00,2.049554011710414e-01,4.687508235739305e-09
34,8,1.826639977436973e+01,1.441257631927068e-01,9.429846457073311e-11
34,9,2.988691987761205e+01,1.105713800848526e-01,9.831443952001945e-12
35,0,9.736730280855967e-06,-2.954263875314823e-04,-6.287905862788107e-06
35,1,-4.242867714726056e-01,1.760475019178211e-01,2.164212298816271e-02
35,2,3.784625051819023e-01,6.125161774185147e-01,3.628273746110330e-02
35,3,7.918160342284895e-01,5.884390787083149e-01,2.752255384845598e-04
35,4,7.917200962238863e-01,5.883023805349660e-01,-1.488267143114827e-03
35,5,1.282171448804060e+00,5.354736909960505e-01,1.729039699088577e-02
35,6,4.942251122570053e+00,3.058308059708881e-01,6.483603609992753e-03
35,7,9.072348855391581e+00,2.108102850533522e-01,5.100589301009499e-09
35,8,1.826636820325705e+01,1.482435571060290e-01,1.026113351094007e-10
35,9,2.988690809015525e+01,1.137305474720137e-01,1.069819424801427e-11
36,0,1.027418412505578e-05,-3.035959868116203e-04,-6.460912968982534e-06
36,1,-4.345173649374982e-01,1.557834111759725e-01,1.915526990028662e-02
36,2,3.611081162653823e-01,6.230152589663053e-01,3.690476523727194e-02
